,Items,Antecedent,Consequent,Support,Confidence,Lift
281,"{'supervised', 'Disaster Related Information Filtering', 'CNN'}","{'Disaster Related Information Filtering', 'CNN'}",{'supervised'},0.13253012048192772,1.0,1.064102564102564
274,"{'supervised', 'Disaster Related Information Classification', 'CNN'}","{'Disaster Related Information Classification', 'CNN'}",{'supervised'},0.12048192771084337,1.0,1.064102564102564
372,"{'Web Mining', 'supervised', 'CNN'}","{'Web Mining', 'CNN'}",{'supervised'},0.12048192771084337,1.0,1.064102564102564
393,"{'cross-entrophy', 'supervised', 'CNN'}","{'cross-entrophy', 'CNN'}",{'supervised'},0.1686746987951807,1.0,1.064102564102564
805,"{'Remote_sensing', 'supervised', 'image', 'CNN'}","{'Remote_sensing', 'supervised', 'CNN'}",{'image'},0.10843373493975904,1.0,2.2432432432432434
744,"{'Not Discussed', 'Remote_sensing', 'image', 'CNN'}","{'Not Discussed', 'Remote_sensing', 'CNN'}",{'image'},0.10843373493975904,1.0,2.2432432432432434
456,"{'Remote_sensing', 'Disaster Damage Assessment', 'image'}","{'Remote_sensing', 'Disaster Damage Assessment'}",{'image'},0.10843373493975904,1.0,2.2432432432432434
429,"{'multimodal', 'Twitter', 'CrisisMMD'}","{'multimodal', 'CrisisMMD'}",{'Twitter'},0.10843373493975904,1.0,2.075
819,"{'cross-entrophy', 'supervised', 'Twitter', 'CNN'}","{'cross-entrophy', 'Twitter', 'CNN'}",{'supervised'},0.10843373493975904,1.0,1.064102564102564
834,"{'multimodal', 'supervised', 'Twitter', 'CNN'}","{'multimodal', 'Twitter', 'CNN'}",{'supervised'},0.10843373493975904,1.0,1.064102564102564
774,"{'Not Discussed', 'supervised', 'Web database', 'CNN'}","{'Not Discussed', 'Web database', 'CNN'}",{'supervised'},0.10843373493975904,1.0,1.064102564102564
379,"{'Web database', 'supervised', 'CNN'}","{'Web database', 'CNN'}",{'supervised'},0.10843373493975904,1.0,1.064102564102564
729,"{'supervised', 'Disaster Related Information Classification', 'Twitter', 'CNN'}","{'Disaster Related Information Classification', 'Twitter', 'CNN'}",{'supervised'},0.10843373493975904,1.0,1.064102564102564
924,"{'Not Discussed', 'supervised', '-', 'image', 'CNN'}","{'Not Discussed', '-', 'image', 'CNN'}",{'supervised'},0.10843373493975904,1.0,1.064102564102564
533,"{'Not Discussed', 'Web Mining', 'supervised'}","{'Not Discussed', 'Web Mining'}",{'supervised'},0.10843373493975904,1.0,1.064102564102564
186,"{'cross-entrophy', 'supervised'}",{'cross-entrophy'},{'supervised'},0.24096385542168675,1.0,1.064102564102564
769,"{'Not Discussed', 'supervised', 'Web database', 'CNN'}","{'Web database', 'CNN'}","{'Not Discussed', 'supervised'}",0.10843373493975904,1.0,1.509090909090909
776,"{'Not Discussed', 'supervised', 'Web database', 'CNN'}","{'Web database', 'supervised', 'CNN'}",{'Not Discussed'},0.10843373493975904,1.0,1.3833333333333333
303,"{'Not Discussed', 'Web database', 'CNN'}","{'Web database', 'CNN'}",{'Not Discussed'},0.10843373493975904,1.0,1.3833333333333333
386,"{'accuracy', 'supervised', 'CNN'}","{'accuracy', 'CNN'}",{'supervised'},0.12048192771084337,1.0,1.064102564102564
153,"{'Remote_sensing', 'image'}",{'Remote_sensing'},{'image'},0.1566265060240964,1.0,2.2432432432432434
654,"{'supervised', '-', 'image', 'CNN'}","{'-', 'image', 'CNN'}",{'supervised'},0.12048192771084337,1.0,1.064102564102564
589,"{'cross-entrophy', 'supervised', 'Twitter'}","{'cross-entrophy', 'Twitter'}",{'supervised'},0.1566265060240964,1.0,1.064102564102564
583,"{'Remote_sensing', 'supervised', 'image'}","{'Remote_sensing', 'supervised'}",{'image'},0.13253012048192772,1.0,2.2432432432432434
239,"{'supervised', '-', 'image'}","{'-', 'image'}",{'supervised'},0.14457831325301204,1.0,1.064102564102564
639,"{'Not Discussed', 'supervised', '-', 'CNN'}","{'Not Discussed', '-', 'CNN'}",{'supervised'},0.13253012048192772,1.0,1.064102564102564
436,"{'supervised', 'Twitter', 'CrisisMMD'}","{'supervised', 'CrisisMMD'}",{'Twitter'},0.13253012048192772,1.0,2.075
78,"{'Twitter', 'CrisisMMD'}",{'CrisisMMD'},{'Twitter'},0.14457831325301204,1.0,2.075
407,"{'multimodal', 'supervised', 'CNN'}","{'multimodal', 'CNN'}",{'supervised'},0.14457831325301204,1.0,1.064102564102564
